代码,学校名称,[2019],[2020],[2021],[2022],[2023],[2024]
8310418,深圳市耀华实验学校,,,483,469,406,413
8311104,深圳市正德高级中学,,,,,,
8310905,深圳市光明书院,,,,,,
8310204,深圳市龙翔学校,,,,,,
8311007,深圳市龙华中英文实验学校,,,,,,
8310715,深圳市龙岗区东升学校,,,,,,
8310618,深圳东方英文书院,,,,,,
8310803,深圳市万科梅沙书院,,,,,,418
8310512,深圳(南山)中加学校,,,,,,343
8310312,深圳奥斯翰外语学校,,,,,,325
8310420,深圳市云顶学校,,,,,,325
8310636,深圳杰仁高级中学,,,,,,
8310205,深圳市中新中学,,,,,,
8311008,深圳市美中学校,,,,,,
8310716,深圳市建文外国语学校,,,,,,
8310629,深圳市华侨（康桥）书院,,,,,,
8310627,深圳市崛起实验中学,,,,,,
8310804,深圳市盐田区梅沙双语学校,,,,,,
8310210,深圳市知源高级中学,,,,,,
8310206,深圳市立人高级中学,,,,,,
8311029,深圳市龙华区诺德双语学校,,,,,,
8311009,深圳市展华实验学校,,,,,,
8310743,深圳菁华中英文实验中学,,,,,,
8310741,深圳市龙岗区德琳学校,,,,,,
8310738,深圳市坤翔高级中学,,,,,,
8310734,深圳市龙岗区科城实验学校,,,,,,
8310637,深圳市福桥高级中学,,,,,,
8310632,深圳市松岗中英文实验学校,,,,,,
8310630,深圳市明德外语实验学校,,,,,,
8310614,深圳市桃源居中澳实验学校,,,,,,
8310207,深圳市华朗学校,,,,,,
8311013,深圳市格睿特高级中学,,,,,,
8310746,深圳市晟才高级中学,,,,,,
8310735,深圳市承翰学校,,,,,,
8310628,深圳市华胜实验学校,,,,,,
8310619,深圳市富源学校,,,,,,
8310631,深圳市宝安区中英公学,,,,,,
8310633,深圳市宝安区翻身实验学校（西校区）,,,,,,
8310635,深圳市华一实验学校,,,,,,
8310638,深圳市滨海高级中学,,,,,,
8310646,深圳市弘毅高级中学,,,,,,
8310739,深圳市龙岗区珊蒂泉外国语学校,,,,,,
8310740,深圳市枫叶学校,,,,,,
8310742,深圳市鹏达高级中学,,,,,,
8311024,深圳市龙华区博恒实验学校,,,,,,
8311021,深圳市汉开数理高中,,,,,,
8310211,深圳市华文高级中学,,,,,,
